rainfall_mm,avg_temp_c,soil_ph,humidity_pct,sunlight_hours,fertilizer_kg_ha,planting_density_k_ha,pest_incidence_pct,variety,soil_type,yield_tonnes_ha
1517.1,27.0,7.97,88.4,5.65,132.6,10.82,14.5,TMS 98/0505,Sandy-Loam,25.96
1303.1,26.0,5.93,53.9,4.95,147.5,12.54,7.2,TMS 98/0505,Loam,29.85
671.1,27.5,6.28,59.7,6.6,146.0,8.84,5.4,Local,Loam,27.06
1297.2,29.5,5.48,86.5,5.2,13.7,12.69,17.9,TME 419,Loam,24.99
1084.5,24.4,6.13,82.2,5.09,158.2,12.78,6.6,Local,Clay,25.35
996.9,25.0,6.32,65.6,5.99,79.7,12.71,6.9,TMS 98/0505,Loam,30.92
1383.5,26.1,6.14,80.3,5.91,54.2,8.35,5.6,TME 419,Sandy,27.89
1509.3,23.0,5.29,74.1,5.85,53.7,9.58,14.2,TME 419,Sandy,21.91
1479.4,24.5,6.14,88.0,7.06,146.0,10.6,24.4,Local,Loam,25.24
948.2,25.6,7.02,70.9,6.59,106.6,6.57,30.1,TMS 98/0505,Loam,26.11
1107.2,29.6,6.31,82.3,6.15,19.1,13.99,7.7,TME 419,Clay,25.87
1299.4,27.8,6.67,100.0,6.72,148.7,9.97,36.5,Local,Sandy,21.24
1492.7,27.6,5.83,77.2,5.31,33.6,10.71,5.0,TME 419,Sandy-Loam,30.61
1056.2,29.6,6.52,70.6,6.63,128.4,8.56,25.8,Local,Sandy-Loam,24.28
1144.3,26.6,6.2,78.7,6.68,134.3,6.68,7.8,TMS 30572,Sandy-Loam,30.18
868.1,28.2,5.33,65.6,4.7,173.1,8.49,6.3,TMS 98/0505,Clay,26.35
841.1,26.7,6.22,98.7,7.69,226.9,10.55,7.6,TMS 98/0505,Sandy,28.23
1443.8,27.8,5.31,72.2,5.44,38.1,11.68,14.5,TME 419,Loam,26.35
1606.9,25.3,5.56,66.7,6.61,116.9,10.4,20.8,TMS 30572,Sandy,25.0
1178.4,19.7,6.13,60.0,7.9,103.4,10.87,21.7,TME 419,Sandy-Loam,24.73
1501.1,26.6,6.21,83.2,7.61,146.0,9.16,5.6,Local,Loam,26.5
1308.5,31.3,5.17,80.4,6.54,132.9,11.24,5.1,TMS 98/0505,Loam,29.8
1006.5,29.8,6.74,64.0,6.07,98.8,13.71,5.8,TME 419,Clay,25.25
1308.4,29.9,6.4,76.9,7.64,93.5,11.76,13.9,TME 419,Sandy-Loam,27.88
1661.4,30.7,5.51,51.9,7.31,53.0,12.02,12.9,TMS 98/0505,Clay,27.24
1189.3,27.3,4.92,72.2,5.76,179.3,10.74,5.5,Local,Clay,22.14
1669.4,27.6,5.9,75.4,5.55,147.6,6.24,17.7,TMS 30572,Loam,29.0
414.1,25.1,5.69,90.5,4.01,175.1,7.39,37.6,TMS 98/0505,Clay,19.91
1446.6,26.1,6.08,60.8,6.68,101.4,11.14,10.0,TME 419,Sandy,26.34
1226.1,28.8,5.75,54.7,6.4,80.6,9.97,10.7,Local,Sandy-Loam,24.89
1110.3,30.6,4.59,59.3,7.86,55.3,11.1,20.6,TME 419,Loam,23.64
1227.5,26.6,5.73,54.0,6.93,141.5,14.19,9.4,Local,Sandy,24.17
603.7,25.6,5.79,86.0,8.1,57.6,11.82,21.7,TME 419,Sandy-Loam,22.11
1134.1,27.0,6.44,88.6,5.66,230.9,13.15,7.8,TMS 30572,Loam,31.25
1307.1,28.8,5.51,73.8,7.87,41.5,10.24,33.3,TME 419,Sandy-Loam,26.75
1643.4,22.7,7.18,84.7,5.87,136.4,7.98,18.4,TME 419,Sandy-Loam,25.29
1044.5,20.1,4.66,71.6,7.43,214.0,9.86,8.8,TME 419,Sandy-Loam,23.15
957.5,25.3,6.92,68.9,4.75,155.9,7.99,9.1,TME 419,Sandy,25.12
1049.5,23.3,5.84,66.0,6.78,130.5,13.9,9.9,TMS 98/0505,Sandy,26.89
1474.6,25.5,6.6,66.3,4.12,61.9,11.98,28.7,TME 419,Sandy-Loam,24.26
1298.6,26.6,6.06,51.4,6.18,37.1,11.3,2.3,TMS 30572,Sandy-Loam,28.7
1041.1,25.6,6.8,73.2,7.03,166.2,13.09,8.3,TME 419,Loam,28.75
1354.0,31.4,5.73,69.5,5.87,210.4,4.95,9.4,TME 419,Loam,26.69
1229.1,28.0,5.23,78.9,5.24,93.7,11.47,14.8,Local,Sandy,21.36
1490.6,27.9,6.99,71.1,7.52,51.7,6.72,12.3,TME 419,Sandy-Loam,25.96
989.4,28.9,5.92,68.0,6.38,0.0,9.98,0.1,TMS 30572,Sandy,21.06
1101.7,23.6,6.16,59.5,5.91,61.2,9.22,11.0,Local,Sandy,19.98
1082.4,30.1,6.86,70.9,6.55,113.2,11.65,14.0,TMS 98/0505,Clay,26.34
760.9,26.8,5.28,78.9,9.66,215.9,10.57,8.7,TME 419,Sandy,26.83
1288.8,29.0,6.42,56.3,7.88,160.4,13.36,21.9,TMS 98/0505,Sandy-Loam,29.31
1278.3,23.8,5.59,71.0,7.9,138.3,8.5,24.2,Local,Sandy,22.59
1201.5,22.3,5.91,72.8,7.02,96.0,11.77,14.2,TME 419,Sandy,23.29
1129.6,29.5,6.05,61.4,6.7,85.0,10.41,17.3,Local,Loam,26.3
775.4,28.1,4.95,62.9,3.62,204.3,5.91,0.0,Local,Loam,26.13
1073.8,24.3,5.45,72.8,5.69,132.0,7.7,10.8,TMS 98/0505,Sandy,26.21
1097.2,24.4,6.95,56.4,5.92,0.0,9.63,25.0,Local,Loam,19.85
959.3,30.4,6.62,74.2,4.25,79.6,12.78,10.8,TME 419,Loam,28.37
1151.6,23.4,5.96,59.3,5.11,68.5,11.16,7.6,Local,Sandy-Loam,21.33
1321.2,31.9,6.17,82.8,4.12,87.2,7.08,37.8,TME 419,Sandy,22.74
1765.9,24.3,5.79,98.1,6.45,153.8,9.65,33.2,TMS 30572,Sandy-Loam,26.02
1252.4,28.9,6.95,59.7,7.48,113.6,15.04,19.7,TMS 30572,Clay,24.87
1277.3,26.0,5.86,76.4,7.83,115.4,10.28,26.4,TMS 30572,Sandy,24.69
1177.7,28.8,6.16,61.3,7.0,198.8,9.18,0.0,TME 419,Sandy,28.43
624.4,25.4,6.8,82.5,5.34,78.2,11.23,7.1,TMS 98/0505,Loam,26.85
1192.0,26.5,5.46,54.8,4.18,231.9,11.91,10.3,TMS 30572,Sandy,28.19
1218.1,27.1,7.09,75.8,4.39,79.7,8.86,12.6,TME 419,Loam,27.58
1939.0,24.0,4.93,59.5,4.98,125.4,11.26,10.1,TME 419,Sandy,19.24
1142.3,29.2,7.14,67.5,5.43,103.1,9.18,0.0,TMS 98/0505,Clay,27.05
1290.5,25.5,5.74,57.6,6.31,127.4,11.8,18.9,TME 419,Loam,27.75
1189.6,26.3,5.83,79.9,5.28,146.7,10.42,20.4,TMS 30572,Sandy,28.85
849.4,24.0,4.68,60.0,6.91,146.0,11.2,31.0,TME 419,Loam,22.02
1542.8,19.3,5.68,76.6,6.22,74.8,8.1,7.1,Local,Clay,18.95
1425.6,26.4,5.27,65.9,6.51,52.6,7.95,6.3,TMS 30572,Sandy,24.25
1437.3,34.2,5.57,68.6,7.87,270.2,12.36,0.0,TMS 30572,Sandy-Loam,29.32
927.2,29.4,5.9,71.8,5.08,91.0,9.8,12.1,TME 419,Loam,27.66
1620.8,26.9,6.67,60.9,7.0,162.0,10.71,24.0,TMS 30572,Sandy-Loam,26.44
779.4,26.2,6.15,72.5,6.48,23.5,9.23,8.9,Local,Sandy,20.08
1376.1,27.1,6.22,88.4,6.1,103.2,12.25,36.4,TMS 30572,Sandy-Loam,26.39
1857.1,28.6,5.23,60.7,7.56,112.4,8.48,12.4,TMS 98/0505,Clay,25.25
902.8,23.5,5.38,84.1,7.55,148.4,9.66,16.5,TMS 98/0505,Loam,27.99
1030.1,30.3,7.26,88.0,5.36,0.0,11.96,1.4,TME 419,Loam,24.91
1229.9,29.1,5.49,60.2,6.28,130.0,12.93,17.9,TME 419,Sandy,23.9
1049.0,29.2,7.16,52.5,6.84,51.0,8.69,0.0,TMS 30572,Sandy-Loam,25.99
734.8,28.3,5.83,73.6,6.17,139.5,14.9,21.9,TME 419,Clay,23.26
1220.6,27.1,6.0,63.4,7.2,57.8,10.78,22.2,TME 419,Sandy,24.81
881.3,29.0,6.75,92.4,6.84,68.7,7.39,28.6,TMS 98/0505,Sandy,22.46
1342.1,28.8,6.89,70.4,8.7,103.6,10.92,4.8,TME 419,Sandy,28.71
924.2,25.9,5.92,60.4,4.66,56.9,9.04,16.6,TME 419,Clay,25.67
1665.0,25.3,5.73,56.2,6.35,91.5,11.09,20.6,Local,Clay,23.0
965.0,27.3,5.96,83.1,5.41,48.4,9.89,19.4,Local,Loam,24.46
1103.4,31.6,6.24,63.1,7.22,10.0,10.19,6.3,Local,Loam,21.12
1444.1,23.3,6.62,70.5,4.56,181.1,7.72,0.0,TMS 98/0505,Loam,32.3
830.7,22.6,6.0,81.5,6.92,42.2,12.48,18.5,TME 419,Loam,24.61
1268.2,27.5,6.43,64.2,5.74,109.3,7.11,13.5,TME 419,Sandy,24.22
1592.1,27.2,7.15,69.4,5.62,165.2,7.23,9.3,TMS 30572,Loam,28.8
717.8,27.5,6.27,69.8,4.76,83.1,10.92,22.6,TMS 30572,Sandy,25.65
1255.4,27.7,6.22,78.2,5.94,70.5,14.01,14.6,TMS 30572,Sandy-Loam,29.2
1278.0,26.3,4.94,77.1,7.8,133.6,9.12,1.8,Local,Clay,23.71
1434.5,31.5,4.16,67.4,6.47,187.1,11.75,0.0,TMS 30572,Sandy-Loam,23.3
828.9,22.2,6.27,70.8,7.25,49.8,12.68,3.7,Local,Loam,23.03
803.9,24.5,5.93,65.5,8.5,111.0,12.04,38.9,Local,Sandy-Loam,22.13
1356.6,26.7,5.64,52.3,6.82,16.1,9.22,22.2,Local,Clay,19.98
1289.1,22.1,6.17,73.1,5.83,96.4,7.27,16.9,Local,Loam,24.54
1275.1,26.5,5.96,92.7,7.06,122.1,4.48,13.2,Local,Sandy,21.9
1303.9,32.0,6.79,59.4,5.85,68.7,9.34,12.5,TMS 30572,Clay,26.43
996.0,27.1,6.06,60.7,5.89,92.6,12.95,26.7,Local,Sandy-Loam,19.33
1269.7,27.7,5.48,59.6,4.68,35.5,7.19,10.1,TMS 30572,Sandy,24.25
1287.9,23.2,6.69,78.7,7.61,124.6,11.75,20.8,Local,Sandy,20.65
985.7,25.2,5.85,75.4,6.04,183.3,7.62,11.5,Local,Clay,23.03
1759.7,25.9,6.37,68.1,6.72,54.2,10.27,34.4,TME 419,Sandy-Loam,24.22
1342.1,26.0,5.67,59.0,5.26,82.6,11.77,22.4,TMS 98/0505,Clay,24.48
842.6,30.8,5.55,71.1,7.02,150.2,8.35,27.5,TMS 98/0505,Loam,28.99
1397.0,28.7,6.06,51.2,5.59,192.7,10.43,9.2,TMS 98/0505,Loam,30.49
907.6,23.7,6.01,71.7,6.33,30.4,8.96,25.6,TMS 30572,Loam,27.23
1436.1,27.7,6.34,80.5,7.55,109.9,11.76,11.9,TMS 30572,Sandy-Loam,28.59
1547.6,28.5,5.81,55.0,7.45,137.0,10.59,16.1,TMS 30572,Clay,28.98
953.8,30.4,4.71,51.6,6.47,113.9,10.14,31.4,TMS 30572,Loam,25.51
1489.0,31.7,5.7,89.0,4.38,0.0,13.9,4.6,Local,Loam,20.14
1323.8,24.0,6.56,62.7,10.09,150.1,11.66,17.0,TME 419,Sandy-Loam,28.09
1446.6,24.6,5.79,83.6,8.6,211.2,8.27,19.4,TME 419,Clay,27.8
1769.0,23.2,5.83,68.2,7.37,127.0,9.79,20.2,TME 419,Sandy-Loam,26.69
1126.4,26.3,6.69,68.1,5.6,58.1,9.81,10.5,TME 419,Loam,28.64
973.9,28.4,5.5,75.3,6.36,89.2,10.2,35.9,Local,Sandy-Loam,23.28
933.1,30.0,4.92,59.4,5.85,226.2,16.31,2.1,TME 419,Sandy-Loam,26.38
955.3,26.8,5.89,71.6,8.02,174.6,10.93,29.6,Local,Loam,23.31
1176.9,26.0,5.66,65.4,6.82,158.4,4.91,27.2,TMS 98/0505,Sandy-Loam,25.99
1302.3,27.5,5.32,54.2,5.56,141.4,8.64,34.0,Local,Sandy,18.15
1283.0,24.5,5.88,74.0,5.94,80.3,5.17,0.0,Local,Clay,20.35
1448.2,33.3,6.34,66.8,7.85,108.0,9.18,6.3,TMS 98/0505,Sandy-Loam,29.37
1203.9,22.2,5.99,68.1,8.42,115.3,5.03,29.9,TME 419,Loam,26.61
1636.1,27.6,6.21,55.5,8.33,153.0,7.82,0.0,Local,Clay,24.38
1120.6,33.1,7.27,89.1,7.41,210.5,6.2,0.0,TME 419,Loam,26.77
2016.1,27.0,5.76,80.5,6.2,187.1,10.96,10.1,Local,Clay,23.26
1387.7,26.4,6.19,81.6,2.61,34.8,10.0,16.9,Local,Sandy-Loam,22.63
942.9,25.9,5.64,66.3,6.86,133.4,10.76,30.9,Local,Clay,21.64
878.7,26.5,5.41,49.2,6.5,164.2,9.74,13.1,TME 419,Sandy-Loam,27.98
1344.7,31.1,5.59,93.4,6.67,157.1,6.51,8.9,TMS 30572,Loam,28.85
1133.0,20.4,5.66,69.3,6.56,82.2,11.28,18.1,TME 419,Sandy,24.6
1414.2,31.6,6.25,61.0,4.91,294.8,14.81,19.7,TMS 30572,Loam,27.56
1342.0,22.7,7.64,75.0,7.17,43.4,11.02,19.4,Local,Clay,20.53
1178.2,26.2,5.5,84.0,7.26,55.0,8.94,13.2,TME 419,Sandy,23.37
946.0,25.7,5.71,69.7,7.32,134.0,6.43,0.0,TMS 30572,Clay,28.19
745.5,28.8,5.96,85.3,7.64,247.0,7.73,5.8,Local,Loam,25.23
1066.0,22.2,6.28,83.0,7.22,69.8,11.13,29.2,TMS 98/0505,Clay,26.58
1456.9,28.4,6.18,57.1,6.01,104.1,12.68,16.9,TME 419,Sandy,24.2
1264.2,33.1,6.9,61.9,6.41,184.6,10.65,11.8,TMS 30572,Clay,26.53
826.3,22.9,4.3,81.5,6.61,118.9,12.0,26.2,TME 419,Clay,17.5
1252.0,27.6,4.33,37.4,6.63,99.9,11.77,3.7,TME 419,Sandy-Loam,23.57
1315.6,25.0,5.65,68.2,7.7,153.9,11.27,12.7,TMS 30572,Clay,26.65
934.8,28.3,6.77,52.8,7.27,136.4,8.35,16.4,TMS 30572,Clay,28.49
1246.1,27.1,4.9,64.3,8.99,181.8,10.43,10.6,Local,Sandy-Loam,22.53
1217.5,25.1,3.89,66.4,9.15,197.5,7.88,16.0,TMS 98/0505,Clay,19.24
857.1,28.5,6.4,65.7,6.6,138.4,10.04,13.1,Local,Loam,26.66
1307.3,32.4,6.17,63.4,2.0,137.5,10.83,1.0,Local,Sandy-Loam,23.03
1368.2,26.4,5.24,56.8,7.98,132.8,14.2,16.8,TME 419,Clay,24.67
1524.9,29.2,5.31,97.5,5.85,149.3,6.73,1.7,TMS 30572,Loam,28.35
1516.1,23.1,5.32,92.4,5.54,123.3,11.2,16.7,TMS 98/0505,Clay,23.52
786.7,24.1,6.08,56.1,6.02,120.0,13.7,28.7,TME 419,Sandy-Loam,24.31
918.7,28.4,5.56,89.0,5.96,191.8,11.9,12.2,Local,Sandy-Loam,25.59
1354.5,31.5,6.35,65.2,7.23,211.0,12.08,3.3,TMS 30572,Sandy-Loam,31.27
1354.1,28.1,4.0,71.6,4.63,29.5,11.47,13.7,Local,Loam,17.29
1354.5,26.1,5.4,69.2,5.21,120.6,13.25,6.7,TME 419,Loam,29.57
2355.8,27.0,5.21,62.1,6.91,78.7,7.28,20.9,TME 419,Sandy,17.43
1371.3,23.2,5.82,81.8,7.25,101.3,6.54,13.5,Local,Sandy,20.32
1540.7,28.8,5.62,71.5,7.27,144.2,9.98,32.1,TME 419,Sandy-Loam,27.33
1486.2,29.6,6.56,64.3,5.56,160.2,4.6,26.6,TME 419,Loam,26.39
1395.4,25.6,4.7,54.3,5.33,113.3,13.08,13.5,TMS 30572,Clay,22.52
1105.4,25.6,6.03,59.3,5.89,5.2,13.05,22.2,TMS 30572,Clay,21.55
1427.7,27.8,6.39,50.3,6.79,62.1,8.92,11.1,Local,Clay,19.82
968.2,25.7,7.3,70.1,8.28,173.8,9.07,15.3,Local,Sandy,21.88
1129.0,26.8,5.66,55.6,4.04,0.0,9.82,11.4,Local,Loam,20.58
1054.4,33.3,6.23,66.8,6.24,191.2,10.13,22.7,Local,Loam,25.24
1224.6,26.3,4.74,86.4,4.9,151.3,10.32,29.3,TMS 30572,Loam,24.74
1894.4,25.9,4.33,84.4,4.52,199.0,11.4,23.0,TMS 98/0505,Sandy-Loam,21.26
639.8,25.1,6.59,69.6,7.66,108.1,9.57,24.2,TMS 30572,Sandy-Loam,26.34
1405.9,29.2,6.0,69.0,7.15,0.0,12.36,24.2,TMS 30572,Loam,26.02
716.2,26.5,6.82,92.6,7.04,145.8,11.11,20.5,TME 419,Sandy-Loam,25.69
1058.4,25.1,5.04,76.2,7.61,196.5,8.48,3.6,TME 419,Loam,29.48
1526.7,31.0,6.36,66.1,5.92,175.5,13.34,32.0,TMS 98/0505,Clay,24.73
1219.3,31.3,7.31,52.9,5.98,80.2,6.6,33.0,TMS 98/0505,Sandy,21.88
876.7,25.2,6.29,74.7,9.12,125.2,9.77,12.7,TME 419,Clay,26.86
985.4,21.4,6.19,80.0,6.2,88.0,12.42,11.3,Local,Loam,24.7
1403.9,30.0,6.01,62.4,7.38,70.8,8.19,21.1,TMS 30572,Sandy,25.7
980.9,24.9,4.9,73.5,6.51,177.3,10.77,20.5,Local,Loam,24.81
1264.9,29.4,6.95,65.6,4.28,48.1,11.36,13.0,TMS 30572,Loam,26.07
1213.7,21.1,5.57,67.8,4.05,66.4,7.85,2.5,TMS 30572,Clay,24.37
1004.5,29.7,6.35,40.1,5.81,53.8,9.82,18.1,Local,Sandy,19.76
1843.2,23.4,4.91,67.3,7.77,30.6,9.61,20.5,TMS 98/0505,Clay,23.26
1390.2,29.2,5.17,81.6,7.45,128.8,8.62,22.3,TMS 98/0505,Clay,25.45
592.5,27.0,7.0,62.4,7.6,189.7,15.75,18.5,TMS 98/0505,Clay,26.36
1255.9,24.1,5.76,70.6,5.32,108.9,8.09,12.3,TME 419,Clay,25.61
1001.5,25.8,7.02,60.9,8.44,29.7,12.51,24.9,Local,Sandy,17.56
1455.7,29.1,5.95,74.3,5.34,170.4,9.02,15.7,TME 419,Loam,29.16
962.2,27.3,4.71,67.4,6.76,221.1,7.28,10.4,TME 419,Sandy-Loam,24.91
1165.6,28.8,6.62,58.7,6.49,81.2,10.26,13.2,Local,Clay,26.31
1351.5,32.9,5.59,86.0,6.29,91.3,11.62,0.0,TME 419,Clay,27.27
1459.7,22.3,6.49,81.1,8.11,150.9,12.3,13.2,TMS 30572,Clay,26.51
839.9,31.9,6.02,62.7,5.65,217.3,13.91,21.9,Local,Loam,23.08
1099.6,27.3,4.92,76.0,4.88,88.8,17.36,18.4,TME 419,Clay,21.92
1057.5,24.3,6.12,76.4,6.52,40.1,10.63,30.2,Local,Sandy-Loam,23.23
1004.0,23.0,7.54,77.7,6.02,157.9,8.34,12.4,TMS 30572,Sandy,18.87
1729.6,26.4,6.35,49.7,10.55,167.9,11.13,19.9,TMS 30572,Sandy-Loam,29.56
1321.5,29.8,5.96,82.1,7.31,120.4,9.33,22.9,Local,Sandy,21.89
821.7,26.6,6.75,63.2,6.01,86.5,12.31,38.4,TMS 98/0505,Loam,25.16
1475.4,31.5,6.15,65.7,5.23,179.7,6.76,16.4,Local,Sandy-Loam,24.7
1836.6,22.6,6.15,100.0,4.24,151.7,15.92,4.6,TME 419,Sandy-Loam,26.82
1509.7,27.0,5.24,73.6,5.27,73.9,12.14,23.5,TMS 30572,Sandy-Loam,26.66
744.2,23.2,6.16,65.4,6.64,122.9,5.79,33.7,TMS 30572,Sandy-Loam,25.91
1054.7,28.1,6.72,43.5,8.21,38.9,8.23,11.8,Local,Loam,26.27
1580.1,29.7,5.41,86.7,7.85,161.2,12.04,23.4,TMS 98/0505,Clay,25.75
987.7,25.7,7.0,53.9,6.77,104.3,12.94,27.3,TMS 98/0505,Loam,25.1
1333.1,19.2,5.94,58.0,6.11,93.9,6.82,25.2,TME 419,Loam,24.45
1432.4,27.6,5.38,66.0,6.82,118.0,11.78,16.3,TME 419,Loam,27.89
921.9,28.3,6.7,87.0,5.88,122.4,5.13,8.0,Local,Clay,19.88
1182.1,28.2,5.8,79.3,8.56,173.7,9.78,14.2,TME 419,Loam,30.16
300.0,30.7,6.53,68.1,6.27,155.5,12.78,19.6,TME 419,Sandy-Loam,24.34
892.7,23.8,5.8,73.7,6.4,110.6,8.62,24.1,TMS 30572,Clay,24.85
1124.2,29.0,5.96,62.8,3.84,165.8,6.23,18.3,TME 419,Sandy,23.13
825.7,30.6,6.35,71.7,6.27,144.0,10.37,11.2,TMS 30572,Clay,26.59
1689.7,21.7,6.2,70.9,7.5,94.4,8.49,20.6,Local,Loam,22.94
771.0,28.0,4.6,81.6,5.22,112.5,11.57,23.6,Local,Loam,17.31
1068.0,25.5,5.22,81.6,5.6,111.1,7.79,18.8,Local,Sandy-Loam,21.96
1239.2,26.8,6.65,75.9,7.45,150.3,8.07,6.6,Local,Loam,24.89
1632.4,28.0,5.91,65.7,4.73,98.0,4.95,13.2,TME 419,Sandy-Loam,26.91
769.2,25.5,5.63,78.9,7.77,96.6,10.42,24.5,TMS 30572,Clay,23.23
1548.9,25.0,5.05,68.9,5.86,238.1,9.6,1.2,TMS 30572,Loam,30.37
1203.1,27.1,5.24,57.0,6.03,176.4,7.03,0.0,TME 419,Clay,25.69
905.5,23.7,4.58,65.2,5.15,74.4,10.48,30.1,TMS 30572,Sandy,18.46
1338.6,23.7,5.93,71.0,6.95,154.3,12.57,20.1,TME 419,Sandy,25.03
1259.7,29.0,5.58,80.9,9.45,127.1,9.46,21.1,TME 419,Sandy,24.7
1019.9,23.6,5.32,67.8,7.44,143.5,10.67,4.2,TME 419,Loam,28.7
1220.9,29.0,5.95,55.5,5.46,128.2,10.68,22.4,TMS 30572,Sandy,24.36
1084.4,28.4,6.25,70.7,7.86,191.4,6.99,17.8,Local,Sandy-Loam,24.28
1234.1,21.8,7.47,71.4,6.12,140.7,15.14,0.0,Local,Loam,22.16
1398.6,25.0,4.94,72.2,8.15,116.3,8.82,29.2,TME 419,Clay,21.96
1675.8,30.6,6.81,81.0,7.47,182.5,11.64,16.6,TMS 98/0505,Loam,28.33
828.7,24.1,6.68,82.2,2.97,134.0,11.92,11.0,TMS 30572,Loam,27.69
1839.9,25.6,5.45,62.9,5.3,127.3,9.65,11.2,TMS 30572,Loam,27.77
614.4,28.4,6.14,62.6,7.63,138.8,11.52,0.0,TMS 30572,Clay,27.48
1154.5,29.4,5.68,57.5,6.68,114.4,10.61,20.9,TME 419,Loam,28.59
1376.5,26.2,6.13,78.4,5.27,120.6,6.46,17.6,TMS 30572,Loam,28.94
1284.3,25.2,7.06,87.4,5.74,84.8,9.17,13.1,TMS 30572,Loam,28.98
1013.2,31.3,6.42,66.2,4.21,74.9,8.47,27.8,Local,Clay,20.42
